game_id,202012220LAL,,,,
game_date,(All),,,,
,,,,,
Row Labels,Sum of trb,Sum of ast,Sum of pts,Sum of plus_minus,Sum of usg_pct
LAC,40,22,116,35,245.4
Amir Coffey,0,0,0,-2,0
Daniel Oturu,0,0,0,0,0
Ivica Zubac,6,1,11,17,12
Kawhi Leonard,2,3,26,1,37.5
Lou Williams,2,3,11,1,17.8
Luke Kennard,2,2,4,-3,13.6
Mfiondu Kabengele,0,0,0,-2,0
Nicolas Batum,6,6,3,-2,7.3
Patrick Beverley,6,3,10,10,20.3
Patrick Patterson,3,1,3,9,12.5
Paul George,6,3,33,17,27.3
Reggie Jackson,1,0,0,-1,36.6
Serge Ibaka,6,0,15,-8,20.3
Terance Mann,0,0,0,-2,40.2
LAL,45,22,109,-35,196.9
Alex Caruso,2,1,3,3,20.3
Alfonzo McKinnie,0,0,0,0,0
Anthony Davis,7,2,18,-16,27.2
Dennis Schroder,12,8,14,-10,27
Jared Dudley,0,0,0,0,0
Kentavious Caldwell-Pope,2,1,9,-9,14.2
Kyle Kuzma,1,0,15,1,22
LeBron James,5,5,22,2,35.9
Marc Gasol,1,1,0,-8,3.5
Markieff Morris,4,1,5,14,9.6
Montrezl Harrell,10,3,17,-3,14.5
Quinn Cook,0,0,0,2,0
Talen Horton-Tucker,1,0,6,7,15.1
Wesley Matthews,0,0,0,-18,7.6
Grand Total,85,44,225,0,442.3